OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,x,y,Longitude,Latitude
2908,581101,993747.0,581,Brickyard P&R with electrical outlets,Brickyard P&R,15530 Juanita-Woodinville Way NE,98011.0,1307151.1241307,273318.892135695,-122.18788699227112,47.7412523591345
2909,778,404958.0,120,Vashon Cemetery,Vashon,19631 Singer Rd SW,98070.0,1233024.75597952,160637.649978936,-122.47929458286784,47.428434851912975
2910,1807,834712.0,360,Ramada Inn Seattle,Ramada Inn Seattle,2200 5th Ave,98121.0,1268374.62786494,228191.462049514,-122.3418602315265,47.61558024784568
2911,730,0.0,690,Fairwood Square,Fairwood Square,SE Petrovitsky Rd & 140th Ave S,98058.0,1313913.39899194,165738.597126111,-122.15291033780179,47.44668890600255
2912,1657,833558.0,60,Insurance Center Bldg,Insurance Center Bldg,217 Pine St,98101.0,1269095.14512469,226249.947887942,-122.33878549972052,47.61029730596335
2913,1751,838873.0,360,Pacific Hotel,Pacific H,4th Ave & Marion St,98104.0,1270629.72702928,224327.271943271,-122.33241358154518,47.60510943391469
2914,2088,442074.0,520,Metro CSO,Metro CSO,201 S Jackson St,98104.0,1270836.24991019,222105.625139847,-122.3314012706854,47.59903099040854
2915,1896,451394.0,360,Warwick Hotel,Warwick H,4th Ave & Lenora St,98121.0,1268687.40512653,227518.621859774,-122.34053890631726,47.61375281772969
2916,2252,780263.0,530,Rainier QFC,Rainier QFC,2707 Rainier Ave S,98144.0,1278490.59090069,214563.814436108,-122.29980006902058,47.578763176198876
2917,40,0.0,600,Dykstra Park,Dykstra Park,J Reddington Rd & 22nd St NE,98002.0,1299152.58829053,122305.656105027,-122.2094158468603,47.326927834761776
2918,2200,0.0,63,Auburn DSHS Community Services Office,Auburn DSHS CSO,810 28th St NE,98002.0,1296574.59541503,124033.778961107,-122.21993441330675,47.331537823344725
2919,10000487,,800,Iglesia Ni Cristo,Iglesia Ni Cristo,10410 SE 216TH ST,98031.0,1301632.80019361,152247.648058191,-122.20156333260584,47.4091213815371
2920,10000488,,800,Islamic Center of Kent,Islamic Center ,20857 108TH AVE SE,98031.0,1302543.01359628,154098.541994184,-122.19802061319811,47.414239085567246
2921,10000504,,800,Beverly Park Baptist Church,Baptist Church,11659 1ST AVE S,98168.0,1269409.54672685,185214.492885515,-122.3342667286607,47.49783725942076
2922,10000506,,800,Holy Redeemer Catholic Church,Holy Redeemer Catholic Church,11824 10TH AVE SW,98146.0,1266304.08148111,184896.004021183,-122.34680152777281,47.49679756359898
2923,10000507,,800,Federal Way Church of the Nazarene,Church of the Nazarene,1525 SW DASH POINT RD,98023.0,1263439.56030728,121912.580447599,-122.35335486139884,47.324008275576624
2924,10000508,,800,Calvary Covenant Church,Calvary Covenant Church,700 SW 320TH ST,98023.0,1265564.83755277,118834.027877688,-122.3445439446001,47.31568488549823
2925,10000509,,800,Bethel Christian Center,Bethel Christian Center,414 SW 312TH ST,98023.0,1266474.67628427,121644.581639767,-122.34109884789345,47.323437380539445
2926,10000512,,800,Downtown Cornerstone Church,Downtown Cornerstone Church,2800 1ST AVE,98121.0,1265942.88633735,228695.945292518,-122.35175807108713,47.616831914990165
2927,10000513,,800,Celebration Foursquare Church,Celebration Foursquare Church,11840 148TH AVE SE,98059.0,1316848.04896252,183785.319234684,-122.14229258211877,47.49629398983139
2928,10000514,,800,Seattle Tamil Assembly Church,Seattle Tamil Assembly Church,9500 NE 191ST ST,98011.0,1301199.66424885,283194.909457102,-122.21279094856811,47.76803311039882
2929,10000515,,800,The Church of Jesus Christ LDS,The Church of Jesus Christ LDS,19215 88TH AVE NE,98011.0,1298410.13144211,283388.533741772,-122.22414661306436,47.768426201791996
2930,10000516,,800,Shoreline Covenant Church,Covenant Church,1330 N 185TH ST,98133.0,1269672.47599103,282163.554892525,-122.34088564756293,47.763585056793616
2931,10000517,,800,Jehovah's Witness Kingdom Hall,Jehovah's Witness Kingdom Hall,18795 NE 95TH ST,98052.0,1330939.5234042,252377.001276776,-122.0898275767291,47.68495514123227
2932,10000518,,800,Bethany Community Church Green Lake,Bethany Community Church,8023 GREEN LAKE DR N,98103.0,1269000.87464394,254293.548624769,-122.3413953628423,47.68715866482273
2933,10000519,,800,The Potter's House Christian Fellowship Church,The Potter's House Christian Fellowship ,10806 12TH AVE SW,98146.0,1265693.35763694,188287.009378269,-122.34954180946653,47.506059219012485
2934,10000520,,800,Wabash Church,Wabash Church,18325 SE 384TH ST,98092.0,1326916.82574095,96189.8356333524,-122.09575550235927,47.25664743586575
2935,10000521,,800,Gospel Russian Baptist Church,Gospel Russian Baptist Church,1807 S 223RD ST,98198.0,1274301.95984228,149849.472736433,-122.31173088755551,47.40116224514357
2936,10000522,,800,St. Philomena Catholic Church,St. Philomena Catholic Church,1790 S 222ND ST,98198.0,1274500.47322477,150885.575323015,-122.31100979939072,47.40401263199478
2937,10000523,,800,Church of the Living God,Church of the Living God,19510 100TH AVE NE,98011.0,1302859.62713628,283786.090033278,-122.20608486942896,47.76973492496798
2938,10000524,,800,Emmanuel Presbyterian Church,Emmanuel Presbyterian Church,19540 104TH AVE NE,98011.0,1304223.36817519,283869.964209348,-122.20054613862656,47.77003137906361
2939,10000525,,800,St. Brendan Catholic Church,St. Brendan Catholic Church,10100 NE 192ND ST,98011.0,1303043.55393377,283134.203541771,-122.2052897914359,47.76795707332836
2940,10000526,,800,Evergreen Baptist Church,Evergreen Baptist Church,19010 5TH AVE NE,98155.0,1273918.50850944,283476.381007016,-122.32372777469863,47.76741016679198
2941,10000527,,800,Bellevue Church of Christ,Church of Christ,1212 104TH AVE SE,98004.0,1302968.01930794,221766.106790021,-122.20116170516754,47.599740504770416
2942,1867,875467.0,60,Tower Bldg,Tower Bldg,1809 7th Ave,98101.0,1269895.73702744,227490.334842861,-122.33563863741362,47.61374005266768
2943,6007140,0.0,600,Magnolia Greenbelt,Magnolia Greenbelt,Dartmouth Ave W and W Howe St,98199.0,1257181.20504186,235588.815036938,-122.38784007884855,47.63524533651127
2944,6006930,0.0,600,Little Brook Park,Little Brook Park,14043 32nd Ave NE,98125.0,1280839.43397203,270202.347843856,-122.29456527172697,47.73139028645872
2945,197,0.0,690,Lake Hills Center,Lake Hills Center,SE 156th Ave & Lake Hills Blvd,98007.0,1319967.17789486,223111.013877109,-122.13236205630253,47.604234452030255
2946,153,0.0,600,Wildwood Park - Bellevue,Wildwood Park in Bellevue,102nd Ave SE & SE 3rd St,0.0,1302142.43992236,224991.635115847,-122.20474040502832,47.60854157929877
2947,392,879902.0,600,Pine Tree Park,Pine Tree Park,114th Ave SE,98030.0,1304610.33492094,131553.950928599,-122.1880695186815,47.352543275504736
2948,6002709,0.0,600,Northshore Athletic Fields,Northshore Athletic Fields,14600 NE 145th St,98072.0,1317723.81591177,270311.281024933,-122.14471458389758,47.73351032449968
2949,6003170,0.0,600,Ravenhill Open Space,Ravenhill Open Space,258th Ave NE & NE 8th St,98053.0,1353962.97702911,226186.915861771,-121.99476121505636,47.61415574952636
2950,6005041,0.0,600,SE 63rd Greenbelt South,SE 63rd Greenbelt South,280th Dr SE & SE 63rd St,0.0,1318797.81507611,201784.322934777,-122.13563860342963,47.54572168878887
2951,6007214,0.0,600,South Park Meadow,South Park Meadow,9100 8th Ave S,98108.0,1272195.08413477,193535.800061777,-122.3236523358443,47.52079414796759
2952,1092,0.0,600,Meadowbrook Playfield,Meadowbrook Playfield,30th Ave NE & Ravenna Ave NE,0.0,1280901.44992411,260836.338032603,-122.29359118905775,47.70572142572532
2953,1160,0.0,600,Dr. Rizal Park,Dr Rizal Park,12th Ave S & Judkins St,98144.0,1273955.88802786,219743.357882768,-122.31857441573926,47.59272183618419
2954,6002518,0.0,600,Yesler Terrace Playfield,Yesler Terrace Playfield,2300 43rd Ave E,0.0,1273492.23114677,222685.058036104,-122.32068351776944,47.600760426867154
2955,943,0.0,600,Montlake Boulevard,Montlake Park,E Calhoun St 7 16th Ave E,98112.0,1276409.61704427,237629.011087775,-122.31002286087075,47.641875526002984
2956,956,0.0,600,West Montlake Park,West Montlake Park,W Park Dr & E Shelby St,98112.0,1276349.96591686,239326.380068347,-122.31039693824653,47.646524846228495
2957,6002395,0.0,600,Veterans Memorial Park - Auburn,Veterans Memorial Park - Auburn,Park Ave and Auburn Way N,98002.0,1295663.71009769,116984.433151692,-122.22309359428552,47.31217033581158
2958,33,0.0,600,Cameron Park,Camron Park,Academy Dr SE & Lemon Tree Ln,98032.0,1312631.65910135,103826.268851265,-122.15379651763088,47.27692231098353
2959,44,0.0,600,Game Farm Wilderness Park,Game Farm Wilderness Park,Stuck River Dr,98092.0,1301812.70501752,104914.265034854,-122.19744875644741,47.2793872558767
2960,6005387,0.0,600,Whitaker Park,Whitaker Park,6813 SE Eagle Lake Dr,98065.0,1386231.03913328,200691.110882357,-121.86256436916302,47.54552533798485
2961,6002821,0.0,600,Jellum Site,Jellum Site,39000 Park St,0.0,1365185.90504253,115046.632893443,-121.94276843574885,47.30995326407113
2962,6007183,919936.0,600,Nantes Park,Nantes Park,5062 SW Admiral Way,98116.0,1254496.47517511,215386.232410684,-122.39706217507774,47.579722425729834
2963,6007232,0.0,600,Fauntleroy Place,Fauntleroy Place,Fauntleroy Way SW and 38th Ave. SW,98126.0,1258635.04891895,209104.555013433,-122.379786013502,47.56273403168646
2964,6007134,0.0,600,Queen Anne Boulevard,Queen Anne Boulevard,Encircles Queen Anne Hill,0.0,1263719.48100728,237118.684024438,-122.36144929957787,47.6397975879697
2965,6005307,0.0,600,Water Tower Park,Water Tower Park,S 208th St and 5th Ave S,98198.0,1270368.84008385,155220.063045099,-122.32803029819817,47.41567461994483
2966,6005298,847666.0,600,Lewis Creek Natural Area,Lewis Creek Natural Area,18501 SE Newport Way,98027.0,1329468.17201619,206685.122516349,-122.09276456651992,47.55964219002329
2967,706,737258.0,600,Kiwanis Park in Renton,Kiwanis Park in Renton,Union Ave NE,98059.0,1310971.60008553,184151.600982442,-122.16608602149633,47.49702150344767
2968,6002659,0.0,600,Squak Valley Park,Squak Valley Park,18501 SE Newport Way,0.0,1345973.09996428,189495.757945016,-122.02484796752529,47.51324416897621
2969,6006927,0.0,600,Old Duvall Water Tank Site,Old Duvall Water Tank Site,NE Virginia St and 4th Ave NE,98019.0,1359204.39994518,273146.611968443,-121.9763406925152,47.74309566661346
2970,6005107,0.0,600,Bridle Crest Trail Site - Redmond,Bridle Crest Trail Site - Redmond,148th Ave NE and NE 60th St,98052.0,1321568.61005944,243071.869952694,-122.12723179567573,47.65902309469465
2971,307,0.0,600,McFarland Park,McFarland Park,Chinook Ave & A St,98022.0,1353592.22842677,79446.7063900232,-121.98734310733455,47.21190064461031
2972,6002755,0.0,600,Flaming Geyser Park,Flaming Geyser Park,Green Valley Rd and SE 354th St,98092.0,1341427.44206086,103994.797057524,-122.03782483128816,47.27867926251756
2973,522,0.0,600,Fernwood Park,Fernwood Park,233rd Ave SE & SE 266th St,98038.0,1342797.06005652,135165.776054025,-122.03426762109518,47.364181883091504
2974,296,0.0,600,Enumclaw Park,Enumclaw County Park,Enumclaw Chinook Pass Rd,98022.0,1360223.18005987,74241.3939660192,-121.96036130097436,47.197901525712915
2975,6003168,0.0,600,Mitchell Hill Connector Forest,Mitchell Hill Connector Forest,SE 56th St and 284th Ave SE,98027.0,1361398.59011061,204719.77999036,-121.96333992645847,47.55561378730491
2976,6005384,0.0,600,Muir Park,Muir Park,35022 SE Muir St,98059.0,1383554.75610003,198614.449025184,-121.87328605496924,47.53973406645858
2977,6004858,0.0,600,Jones Reach Natural Area,Jones Reach Natural Area,SE 193rd St and Jones Road SE,98058.0,1331738.76491594,172278.189033777,-122.08130991272408,47.465429803411446
2978,656,0.0,600,NE Sammamish Neighborhood Park,NE Sammamish Neighborhood Park,Sahalee Way NE & NE 36th St,98074.0,1338926.46510744,236948.111859024,-122.05641019895641,47.643015291676036
2979,6002964,0.0,600,Preston Snoqualmie Trail Site,Preston Snoqualmie Trail Site,"SE High Point Way, North of SE 82nd St to 372nd SE and SE 6",98027.0,1383404.24590236,202198.501896441,-121.87409157903588,47.549553242213285
2980,6005095,0.0,600,Beaver Lake Preserve Park,Beaver Lake Preserve Park,West Beaver Lake Dr SE & SE 16th St,98075.0,1354122.41995169,219480.24390769,-121.99370487071802,47.59577816133742
2981,6005042,0.0,600,Silverleaf Open Space,Silverleaf Open Space,NE Woodinville-Duvall Rd and 188th NE,0.0,1321618.58994636,206302.853923932,-122.12452577333245,47.55823774564127
2982,456,0.0,600,David E. Brink Park,David E Brink Park,55 Lake St S,98033.0,1301986.78111294,247815.064862609,-122.20702281761838,47.671094162330576
2983,644,0.0,600,Welcome Park,Welcome Park,NE Redmond Way & 140th Ave NE,98052.0,1315496.37515669,249633.205911353,-122.1523247068299,47.67672571490323
2984,1969,129009.0,120,Novelty Hill Cemetery,Novelty Hill,28030 NE 116th St,98019.0,1361795.58013028,258088.700155184,-121.96491029839427,47.701924221173826
2985,1207,504112.0,390,White Center Library,White Center Lib,1409 SW 107th St,98146.0,1264777.92410035,188602.840439513,-122.35327011835096,47.50687539564199
2986,6007207,0.0,600,Orchard Street Ravine,Orchard Street Ravine,39th SW and SW Orchard St,98126.0,1258495.89991902,200204.665989101,-122.37962524389454,47.53833232025959
2987,2440,0.0,64,Downtown Renton Post Office,Downtown Renton Post Office,314 Williams Ave S,98057.0,1300920.54505645,177783.438521937,-122.20627897380811,47.47908156921452
